pp150_1,0,3,0,0,0,2,1,3,4,4,4,7,11,14,22,29,23,30,26,21,33,30,40,40,40,45,43,49,51,32,41,44,54,47,34,49,45,35,62,48,38,45,41,42,38,28,38,29,30,25,19,23,17,16,19,14,7,14,12,6,8,10,8,6,5,6,3,1,1,3,4,7,1,2,2,1,3,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,
pp150_1_error,0,1.73205,0,0,0,1.41421,1,1.73205,2,2,2,2.64575,3.31662,3.74166,4.69042,5.38516,4.79583,5.47723,5.09902,4.58258,5.74456,5.47723,6.32456,6.32456,6.32456,6.7082,6.55744,7,7.14143,5.65685,6.40312,6.63325,7.34847,6.85565,5.83095,7,6.7082,5.91608,7.87401,6.9282,6.16441,6.7082,6.40312,6.48074,6.16441,5.2915,6.16441,5.38516,5.47723,5,4.3589,4.79583,4.12311,4,4.3589,3.74166,2.64575,3.74166,3.4641,2.44949,2.82843,3.16228,2.82843,2.44949,2.23607,2.44949,1.73205,1,1,1.73205,2,2.64575,1,1.41421,1.41421,1,1.73205,1,0,0,1,0,0,1,0,0,0,0,1.41421,0,0,0,1,1,0,0,0,0,1,0,
pbpb150_0_10_1_wide,0,0,0,1,0,0,1,3,2,4,4,6,12,15,17,22,15,21,28,17,24,26,24,27,30,28,38,43,30,37,30,42,32,39,40,40,28,29,27,27,24,32,30,33,24,22,23,16,21,20,13,16,15,18,7,13,9,7,7,8,9,6,9,6,6,3,5,4,0,2,2,1,0,5,1,2,3,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
pbpb150_0_10_1_wide_error,0,0,0,1,0,0,1,1.73205,1.41421,2,2,2.44949,3.4641,3.87298,4.12311,4.69042,3.87298,4.58258,5.2915,4.12311,4.89898,5.09902,4.89898,5.19615,5.47723,5.2915,6.16441,6.55744,5.47723,6.08276,5.47723,6.48074,5.65685,6.245,6.32456,6.32456,5.2915,5.38516,5.19615,5.19615,4.89898,5.65685,5.47723,5.74456,4.89898,4.69042,4.79583,4,4.58258,4.47214,3.60555,4,3.87298,4.24264,2.64575,3.60555,3,2.64575,2.64575,2.82843,3,2.44949,3,2.44949,2.44949,1.73205,2.23607,2,0,1.41421,1.41421,1,0,2.23607,1,1.41421,1.73205,1.41421,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
pbpb150_0_10_1,0,1,1,2,0,0,0,2,4,4,7,7,6,9,21,22,20,10,18,27,39,31,26,29,30,29,41,27,44,32,47,34,47,44,61,44,42,53,42,50,43,53,37,30,44,34,33,42,33,26,32,28,31,16,17,14,18,18,7,11,10,9,6,3,2,7,0,6,3,4,1,3,4,0,1,2,1,1,0,2,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
pbpb150_0_10_1_error,0,1,1,1.41421,0,0,0,1.41421,2,2,2.64575,2.64575,2.44949,3,4.58258,4.69042,4.47214,3.16228,4.24264,5.19615,6.245,5.56776,5.09902,5.38516,5.47723,5.38516,6.40312,5.19615,6.63325,5.65685,6.85565,5.83095,6.85565,6.63325,7.81025,6.63325,6.48074,7.28011,6.48074,7.07107,6.55744,7.28011,6.08276,5.47723,6.63325,5.83095,5.74456,6.48074,5.74456,5.09902,5.65685,5.2915,5.56776,4,4.12311,3.74166,4.24264,4.24264,2.64575,3.31662,3.16228,3,2.44949,1.73205,1.41421,2.64575,0,2.44949,1.73205,2,1,1.73205,2,0,1,1.41421,1,1,0,1.41421,1,1,0,0,1,0,0,1.41421,1,0,0,0,0,0,0,0,0,0,0,0,
