pp150_1,0,5,4,10,21,32,69,77,117,121,122,122,120,135,136,134,104,125,100,89,88,85,88,83,85,86,85,74,90,62,65,71,86,66,55,68,57,53,75,59,47,54,49,51,48,33,42,33,33,27,20,24,19,18,19,16,7,14,12,7,10,10,8,6,5,6,3,1,1,3,4,7,1,2,2,1,3,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,
pp150_1,0,2.23607,2,3.16228,4.58258,5.65685,8.30662,8.77496,10.8167,11,11.0454,11.0454,10.9545,11.619,11.6619,11.5758,10.198,11.1803,10,9.43398,9.38083,9.21954,9.38083,9.11043,9.21954,9.27362,9.21954,8.60233,9.48683,7.87401,8.06226,8.42615,9.27362,8.12404,7.4162,8.24621,7.54983,7.28011,8.66025,7.68115,6.85565,7.34847,7,7.14143,6.9282,5.74456,6.48074,5.74456,5.74456,5.19615,4.47214,4.89898,4.3589,4.24264,4.3589,4,2.64575,3.74166,3.4641,2.64575,3.16228,3.16228,2.82843,2.44949,2.23607,2.44949,1.73205,1,1,1.73205,2,2.64575,1,1.41421,1.41421,1,1.73205,1,0,0,1,0,0,1,0,0,0,0,1.41421,0,0,0,1,1,0,0,0,0,1,0,
pbpb150_0_10_1_wide,0,2,4,4,10,30,37,95,120,171,179,187,230,220,212,196,168,154,128,115,126,104,91,95,87,78,99,93,74,78,77,81,71,83,80,69,64,52,59,55,53,55,55,62,42,42,37,32,30,26,22,20,20,20,10,15,12,9,7,9,11,7,9,7,6,3,6,5,0,2,2,1,0,5,1,2,3,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
pbpb150_0_10_1_wide,0,1.41421,2,2,3.16228,5.47723,6.08276,9.74679,10.9545,13.0767,13.3791,13.6748,15.1658,14.8324,14.5602,14,12.9615,12.4097,11.3137,10.7238,11.225,10.198,9.53939,9.74679,9.32738,8.83176,9.94987,9.64365,8.60233,8.83176,8.77496,9,8.42615,9.11043,8.94427,8.30662,8,7.2111,7.68115,7.4162,7.28011,7.4162,7.4162,7.87401,6.48074,6.48074,6.08276,5.65685,5.47723,5.09902,4.69042,4.47214,4.47214,4.47214,3.16228,3.87298,3.4641,3,2.64575,3,3.31662,2.64575,3,2.64575,2.44949,1.73205,2.44949,2.23607,0,1.41421,1.41421,1,0,2.23607,1,1.41421,1.73205,1.41421,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
pbpb150_0_10_1,0,4,6,8,17,34,50,73,94,123,135,118,135,129,137,134,101,103,96,99,91,81,80,75,72,76,76,58,78,60,89,52,72,63,83,66,61,73,66,71,56,68,47,47,53,37,39,51,42,29,38,33,33,17,18,15,19,18,7,11,10,10,6,3,2,7,1,6,3,4,2,3,4,0,1,2,1,1,0,2,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
pbpb150_0_10_1,0,2,2.44949,2.82843,4.12311,5.83095,7.07107,8.544,9.69536,11.0905,11.619,10.8628,11.619,11.3578,11.7047,11.5758,10.0499,10.1489,9.79796,9.94987,9.53939,9,8.94427,8.66025,8.48528,8.7178,8.7178,7.61577,8.83176,7.74597,9.43398,7.2111,8.48528,7.93725,9.11043,8.12404,7.81025,8.544,8.12404,8.42615,7.48331,8.24621,6.85565,6.85565,7.28011,6.08276,6.245,7.14143,6.48074,5.38516,6.16441,5.74456,5.74456,4.12311,4.24264,3.87298,4.3589,4.24264,2.64575,3.31662,3.16228,3.16228,2.44949,1.73205,1.41421,2.64575,1,2.44949,1.73205,2,1.41421,1.73205,2,0,1,1.41421,1,1,0,1.41421,1,1,0,0,1,0,0,1.41421,1,0,0,0,0,0,0,0,0,0,0,0,
pp150_1_zjet,0,754,585,319,143,93,64,82,95,85,110,86,88,85,89,89,71,51,76,60,55,57,36,30,52,43,38,24,39,45,25,31,35,41,33,24,27,24,26,37,19,22,11,26,8,18,13,13,10,14,8,15,10,7,9,7,9,8,4,9,3,4,4,3,3,2,1,1,2,1,1,1,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
pp150_1_zjet,0,27.4591,24.1868,17.8606,11.9583,9.64365,8,9.05539,9.74679,9.21954,10.4881,9.27362,9.38083,9.21954,9.43398,9.43398,8.42615,7.14143,8.7178,7.74597,7.4162,7.54983,6,5.47723,7.2111,6.55744,6.16441,4.89898,6.245,6.7082,5,5.56776,5.91608,6.40312,5.74456,4.89898,5.19615,4.89898,5.09902,6.08276,4.3589,4.69042,3.31662,5.09902,2.82843,4.24264,3.60555,3.60555,3.16228,3.74166,2.82843,3.87298,3.16228,2.64575,3,2.64575,3,2.82843,2,3,1.73205,2,2,1.73205,1.73205,1.41421,1,1,1.41421,1,1,1,1.41421,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
pp150_1,0,5,4,10,21,32,69,77,117,121,122,122,120,135,136,134,104,125,100,89,88,85,88,83,85,86,85,74,90,62,65,71,86,66,55,68,57,53,75,59,47,54,49,51,48,33,42,33,33,27,20,24,19,18,19,16,7,14,12,7,10,10,8,6,5,6,3,1,1,3,4,7,1,2,2,1,3,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,
pp150_1,0,2.23607,2,3.16228,4.58258,5.65685,8.30662,8.77496,10.8167,11,11.0454,11.0454,10.9545,11.619,11.6619,11.5758,10.198,11.1803,10,9.43398,9.38083,9.21954,9.38083,9.11043,9.21954,9.27362,9.21954,8.60233,9.48683,7.87401,8.06226,8.42615,9.27362,8.12404,7.4162,8.24621,7.54983,7.28011,8.66025,7.68115,6.85565,7.34847,7,7.14143,6.9282,5.74456,6.48074,5.74456,5.74456,5.19615,4.47214,4.89898,4.3589,4.24264,4.3589,4,2.64575,3.74166,3.4641,2.64575,3.16228,3.16228,2.82843,2.44949,2.23607,2.44949,1.73205,1,1,1.73205,2,2.64575,1,1.41421,1.41421,1,1.73205,1,0,0,1,0,0,1,0,0,0,0,1.41421,0,0,0,1,1,0,0,0,0,1,0,
pp150_1_zjet,0,754,585,319,143,93,64,82,95,85,110,86,88,85,89,89,71,51,76,60,55,57,36,30,52,43,38,24,39,45,25,31,35,41,33,24,27,24,26,37,19,22,11,26,8,18,13,13,10,14,8,15,10,7,9,7,9,8,4,9,3,4,4,3,3,2,1,1,2,1,1,1,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
